"Jadual 10g: Purata Gaji & Upah Bulanan Siswazah Bekerja mengikut Kumpulan Umur, Malaysia, 2020 - 2024",,,,,,,,,,,,,,,,,,,
"Table 10g: Mean Monthly Salaries & Wages of Employed Graduates by Age Group, Malaysia, 2020 - 2024",,,,,,,,,,,,,,,,,,,
,,,,,,,,,(RM),,,,,,,,,,
"Strata
Strata",,,,,2020r,2021r,2022r,2023,2024,,,,,,,,,,
"Jumlah 
Total",,,,," 4,466 "," 4,542 "," 4,747 "," 4,933 "," 5,330 ",,,,,,,,,,
"Bandar
Urban",,,,," 4,697 "," 4,767 "," 4,906 "," 5,209 "," 5,428 ",,,,,,,,,,
"Luar Bandar
Rural",,,,," 3,664 "," 3,758 "," 3,846 "," 4,019 "," 4,283 ",,,,,,,,,,
"Ijazah
Degree",,,,," 5,492 "," 5,519 "," 5,607 "," 5,979 "," 6,247 ",,,,,,,,,,
"Bandar
Urban",,,,," 5,656 "," 5,680 "," 5,698 "," 6,069 "," 6,335 ",,,,,,,,,,
"Luar Bandar
Rural",,,,," 4,657 "," 4,732 "," 4,722 "," 4,834 "," 5,172 ",,,,,,,,,,
"Diploma
Diploma",,,,," 3,172 "," 3,343 "," 3,533 "," 3,769 "," 4,080 ",,,,,,,,,,
"Bandar
Urban",,,,," 3,308 "," 3,480 "," 3,615 "," 3,784 "," 4,160 ",,,,,,,,,,
"Luar Bandar
Rural",,,,," 2,606 "," 2,694 "," 2,924 "," 3,024 "," 3,339 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Jadual 10h: Penengah Gaji & Upah Bulanan Siswazah Bekerja  mengikut Sijil Tertinggi Diperoleh dan Strata, Malaysia, 2020 - 2024",,,,,,,,,,,,,,,,,,,
"Table 10h: Median Monthly Salaries & Wages of Employed Graduates  by the Highest Certificate Obtained and Strata, Malaysia, 2020 - 2024",,,,,,,,,,,,,,,,,,,
,,,,,,,,,(RM),,,,,,,,,,
"Strata
Strata",,,,,2019,2020,2021,2022p,,,,,,,,,,,
"Jumlah 
Total",,,,," 3,711 "," 3,956 "," 4,265 "," 4,409 "," 4,521 ",,,,,,,,,,
"Bandar
Urban",,,,," 3,928 "," 4,140 "," 4,403 "," 4,637 "," 4,706 ",,,,,,,,,,
"Luar Bandar
Rural",,,,," 3,026 "," 3,164 "," 3,391 "," 3,426 "," 3,503 ",,,,,,,,,,
"Ijazah
Degree",,,,," 4,661 "," 4,825 "," 5,024 "," 5,146 "," 5,724 ",,,,,,,,,,
"Bandar
Urban",,,,," 4,763 "," 4,938 "," 5,075 "," 5,340 "," 5,724 ",,,,,,,,,,
"Luar Bandar
Rural",,,,," 4,226 "," 4,368 "," 4,207 "," 4,352 "," 4,587 ",,,,,,,,,,
"Diploma
Diploma",,,,," 2,796 "," 2,823 "," 3,072 "," 3,121 "," 3,390 ",,,,,,,,,,
"Bandar
Urban",,,,," 2,942 "," 2,969 "," 3,149 "," 3,291 "," 3,454 ",,,,,,,,,,
"Luar Bandar
Rural",,,,," 2,185 "," 2,201 "," 2,403 "," 2,417 "," 2,723 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
