Student_ID,Education,Location,Salary,Risk_Status
1001,Diploma,Urban,3293,High Risk
1002,Degree,Urban,4914,Stable
1003,Degree,Urban,5986,High Risk
1004,Diploma,Rural,5139,Stable
1005,Degree,Rural,5354,Stable
1006,Diploma,Urban,2276,High Risk
1007,Degree,Urban,5957,Stable
1008,Degree,Urban,4856,Stable
1009,Degree,Urban,6980,Stable
1010,Diploma,Urban,1824,High Risk
1011,Degree,Rural,6164,Stable
1012,Diploma,Urban,4033,Stable
1013,Degree,Urban,2093,High Risk
1014,Degree,Rural,1500,High Risk
1015,Degree,Rural,2484,High Risk
1016,Diploma,Rural,3487,Stable
1017,Diploma,Urban,3203,High Risk
1018,Degree,Rural,5434,Stable
1019,Diploma,Rural,2996,Stable
1020,Diploma,Urban,3400,High Risk
1021,Diploma,Rural,2811,Stable
1022,Diploma,Urban,4205,Stable
1023,Degree,Rural,4598,Stable
1024,Diploma,Urban,4386,Stable
1025,Diploma,Urban,4365,Stable
1026,Degree,Rural,5548,Stable
1027,Diploma,Urban,4148,Stable
1028,Diploma,Urban,3369,Stable
1029,Degree,Rural,3086,Stable
1030,Degree,Urban,5029,Stable
1031,Diploma,Urban,2760,Stable
1032,Diploma,Urban,3378,Stable
1033,Diploma,Urban,2943,High Risk
1034,Degree,Urban,5072,High Risk
1035,Diploma,Urban,2980,High Risk
1036,Diploma,Rural,3493,Stable
1037,Diploma,Urban,2676,High Risk
1038,Degree,Urban,5870,Stable
1039,Degree,Rural,4833,Stable
1040,Diploma,Urban,3221,High Risk
1041,Diploma,Urban,3731,Stable
1042,Diploma,Urban,3498,High Risk
1043,Degree,Rural,3312,Stable
1044,Degree,Urban,6464,Stable
1045,Diploma,Urban,3348,High Risk
1046,Degree,Urban,4991,Stable
1047,Diploma,Urban,2491,Stable
1048,Degree,Rural,4715,Stable
1049,Diploma,Urban,4205,Stable
1050,Degree,Urban,5544,Stable
1051,Diploma,Rural,2907,High Risk
1052,Degree,Urban,5005,Stable
1053,Diploma,Rural,2715,High Risk
1054,Degree,Urban,4645,High Risk
1055,Diploma,Urban,4520,Stable
1056,Degree,Urban,3400,High Risk
1057,Diploma,Urban,2982,High Risk
1058,Diploma,Urban,4479,Stable
1059,Diploma,Rural,2935,High Risk
1060,Degree,Urban,5411,Stable
1061,Degree,Urban,6352,Stable
1062,Diploma,Urban,3068,High Risk
1063,Degree,Urban,5549,Stable
1064,Degree,Urban,5795,Stable
1065,Degree,Urban,4086,High Risk
1066,Degree,Urban,5910,Stable
1067,Degree,Urban,5038,Stable
1068,Degree,Rural,2555,High Risk
1069,Degree,Urban,5801,Stable
1070,Diploma,Urban,3055,Stable
1071,Diploma,Urban,3282,High Risk
1072,Diploma,Urban,3277,High Risk
1073,Degree,Urban,6315,High Risk
1074,Diploma,Urban,3538,Stable
1075,Diploma,Rural,2084,Stable
1076,Degree,Rural,4971,High Risk
1077,Diploma,Rural,2184,High Risk
1078,Degree,Urban,6179,Stable
1079,Diploma,Urban,2808,High Risk
1080,Degree,Urban,2841,High Risk
1081,Diploma,Rural,1961,High Risk
1082,Diploma,Urban,2701,High Risk
1083,Degree,Urban,7597,Stable
1084,Diploma,Urban,3586,Stable
1085,Degree,Urban,7433,Stable
1086,Diploma,Rural,1500,High Risk
1087,Degree,Urban,7322,Stable
1088,Diploma,Urban,3913,High Risk
1089,Diploma,Rural,3175,Stable
1090,Degree,Urban,8864,Stable
1091,Degree,Urban,5099,High Risk
1092,Diploma,Rural,1500,High Risk
1093,Degree,Urban,5633,High Risk
1094,Diploma,Urban,3238,High Risk
1095,Degree,Rural,5593,Stable
1096,Diploma,Urban,4027,Stable
1097,Diploma,Urban,3728,Stable
1098,Degree,Urban,4233,Stable
1099,Diploma,Urban,3590,Stable
1100,Degree,Urban,7540,Stable
1101,Diploma,Urban,2670,High Risk
1102,Degree,Urban,5451,Stable
1103,Degree,Urban,3889,Stable
1104,Diploma,Urban,1906,High Risk
1105,Degree,Urban,6245,Stable
1106,Degree,Rural,3390,High Risk
1107,Diploma,Rural,3296,Stable
1108,Diploma,Rural,2555,High Risk
1109,Degree,Urban,6808,Stable
1110,Diploma,Urban,3884,Stable
1111,Degree,Urban,4914,Stable
1112,Diploma,Rural,2897,Stable
1113,Diploma,Rural,3216,High Risk
1114,Degree,Urban,4311,Stable
1115,Diploma,Urban,2882,High Risk
1116,Diploma,Urban,4657,High Risk
1117,Degree,Rural,5165,Stable
1118,Diploma,Urban,5608,Stable
1119,Degree,Urban,5260,High Risk
1120,Degree,Rural,5857,Stable
1121,Diploma,Urban,3778,Stable
1122,Diploma,Urban,3409,High Risk
1123,Degree,Rural,5914,High Risk
1124,Diploma,Urban,3115,High Risk
1125,Diploma,Urban,3232,High Risk
1126,Degree,Urban,6788,Stable
1127,Degree,Urban,6240,Stable
1128,Degree,Urban,4185,Stable
1129,Degree,Urban,5662,Stable
1130,Diploma,Urban,2914,High Risk
1131,Diploma,Rural,2905,High Risk
1132,Diploma,Urban,3603,Stable
1133,Degree,Urban,7143,Stable
1134,Degree,Urban,5729,High Risk
1135,Degree,Urban,3047,High Risk
1136,Degree,Urban,6352,Stable
1137,Degree,Urban,5589,Stable
1138,Diploma,Urban,3704,Stable
1139,Diploma,Rural,1912,High Risk
1140,Degree,Rural,3824,Stable
1141,Diploma,Rural,2675,High Risk
1142,Degree,Rural,2999,High Risk
1143,Degree,Urban,4891,Stable
1144,Degree,Urban,4809,High Risk
1145,Degree,Rural,5108,Stable
1146,Degree,Urban,4456,High Risk
1147,Degree,Urban,5405,Stable
1148,Diploma,Urban,4185,Stable
1149,Degree,Urban,5096,Stable
1150,Diploma,Rural,2738,High Risk
1151,Degree,Urban,5398,Stable
1152,Degree,Rural,4321,Stable
1153,Degree,Urban,7373,Stable
1154,Degree,Urban,4511,Stable
1155,Degree,Urban,6303,Stable
1156,Degree,Urban,5891,Stable
1157,Degree,Urban,4241,Stable
